市町村名,ゴミ名称,カテゴリー(台所ごみ / 電気製品など),分別 (燃えるごみ / 燃えないごみなど),備考 (ゴミごとに固有のもののみ)
大和郡山市,ネット,ホーム,粗大ゴミ,
大和郡山市,粘土,おもちゃ,燃えるゴミ,
大和郡山市,農機具,DIY・工具・ガーデン,収集不可,販売店に相談
大和郡山市,農薬,薬品,収集不可,販売店に相談
大和郡山市,ノートパソコン,パソコン・周辺機器,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,ノコギリ,DIY・工具・ガーデン,粗大ゴミ,
大和郡山市,ハードディスク,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,バイク,乗り物,収集不可,コールセンターか販売店に依頼
大和郡山市,灰皿,ホーム,燃えないゴミ,
大和郡山市,廃油,DIY・工具・ガーデン,収集不可,販売店に相談
大和郡山市,バインダー,文房具・オフィス用品,燃えるゴミ,金具は取り外す
大和郡山市,はかり,小型電化製品,粗大ゴミ,
大和郡山市,バケツ,DIY・工具・ガーデン,粗大ゴミ,
大和郡山市,ハサミ,DIY・工具・ガーデン,燃えないゴミ,
大和郡山市,はし,キッチン,燃えるゴミ,
大和郡山市,バスマット,ホーム,粗大ゴミ,
大和郡山市,バッグ,ファッション＆アクセサリー,燃えるゴミ,大型は粗大ごみ
大和郡山市,バッテリー,小型電気製品,収集不可,販売店に相談
大和郡山市,バット,スポーツ・アウトドア,粗大ゴミ,
大和郡山市,発泡スチロール,ホーム,燃えるゴミ,細かくして、ビニール袋に入れる
大和郡山市,花火,スポーツ・アウトドア,燃えるゴミ,水に浸し、火がつかないようにする
大和郡山市,ハンガー(金属),ホーム,粗大ゴミ,多量であれば直接持ち込み
大和郡山市,ハンガー(木製、プラスチック),ホーム,燃えるゴミ,多量であれば直接持ち込み
大和郡山市,ハンドル,乗り物,収集不可,販売店に相談
大和郡山市,ピアノ,楽器・音響機器,収集不可,販売店に相談
大和郡山市,ビー玉,おもちゃ,燃えないゴミ,
大和郡山市,ビール瓶,ホーム,燃えないゴミ,できるだけリサイクル
大和郡山市,ビデオカメラ,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,ビデオテープ,小型電気製品,燃えるゴミ,多量なら直接持ち込み
大和郡山市,ビニール製テープ,DIY・工具・ガーデン,粗大ゴミ,
大和郡山市,肥料,産業、研究開発用品,収集不可,販売店に相談
大和郡山市,瓶,産業、研究開発用品,燃えないゴミ,
大和郡山市,ファクシミリ,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,ファンヒーター,大型電気製品,粗大ゴミ,灯油を抜いておく
大和郡山市,フォーク,キッチン,燃えないゴミ,
大和郡山市,ふすま,ホーム,粗大ゴミ,自分で交換したものに限る
大和郡山市,布団,ホーム,粗大ゴミ,
大和郡山市,布団乾燥機,大型電気製品,粗大ゴミ,
大和郡山市,布団干し,ホーム,粗大ゴミ,
大和郡山市,フライパン,キッチン,燃えないゴミ,
大和郡山市,ブラインド,ホーム,粗大ゴミ,
大和郡山市,ブラシ,ホーム,燃えるゴミ,大型は粗大ごみへ
大和郡山市,プラモデル,ホビー,燃えるゴミ,
大和郡山市,ブランコ,スポーツ・アウトドア,粗大ゴミ,
大和郡山市,プランター,DIY・工具・ガーデン,粗大ゴミ,
大和郡山市,プリンター,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,ブルーシート,DIY・工具・ガーデン,粗大ゴミ,家庭用のものに限る
大和郡山市,ブルーレイディスク,小型電気製品,燃えるゴミ,多量なら直接持ち込み
大和郡山市,ブルーレイレコーダー,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,風呂おけ,ホーム,粗大ゴミ,
大和郡山市,ブロック,DIY・工具・ガーデン,収集不可,販売店に相談
大和郡山市,フロッピーディスク,小型電気製品,燃えるゴミ,多量なら直接持ち込み
大和郡山市,風呂の椅子,ホーム,粗大ゴミ,
大和郡山市,風呂の蓋,ホーム,粗大ゴミ,
大和郡山市,プロパンガスボンベ,産業、研究開発用品,収集不可,公共施設の回収ボックスへ
大和郡山市,風呂浴槽,ホーム,収集不可,公共施設の回収ボックスへ
大和郡山市,文鎮,文房具・オフィス用品,燃えないゴミ,
大和郡山市,ヘアドライヤー,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
大和郡山市,ベッド(金属),ホーム,粗大ゴミ,
大和郡山市,ベッド(木製、プラスチック),ホーム,粗大ゴミ,
大和郡山市,ペットボトル,食品・飲料,ペットボトル,
大和郡山市,ヘッドフォン,小型電気製品,使用済み小型家電,公共施設の回収ボックスへ
